query,source,url,date,candidate,result,classification,notes
"Bash local: python -c ""import idc_index_data, pandas as pd; print(idc_index_data.__version__)"" -> ModuleNotFoundError (pacote nao instalado nesta maquina; censo nao reproduzido localmente neste arm)",outra,,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebFetch https://learn.canceridc.dev/data/analysis-results -> HTTP 404, pagina nao existe",outra,https://learn.canceridc.dev/data/analysis-results,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebSearch: ""BAMF AIMI annotations TCIA analysis result AI-generated segmentations reviewed by radiologist structures list""",TCIA,,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebFetch https://www.nature.com/articles/s41597-024-03977-8 -> 303 redirect para idp.nature.com (paywall/SSO), nao seguido",outra,https://www.nature.com/articles/s41597-024-03977-8,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebFetch https://zenodo.org/records/10081112 (BAMF AIMI v1: estruturas, colecoes, licenca, proveniencia)",Zenodo,https://zenodo.org/records/10081112,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://zenodo.org/records/13244892 (BAMF AIMI v2: mesma pergunta + esofago sim/nao),Zenodo,https://zenodo.org/records/13244892,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebSearch: ""\""Imaging Data Commons\"" analysis results list \""nnU-Net BPR\"" OR \""body part regression\"" OR \""NLST TotalSegmentator\"" segmentations license""",outra,,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebFetch https://zenodo.org/records/7975081 (nnU-Net-BPR: estruturas, colecoes, licenca, humano vs IA)",Zenodo,https://zenodo.org/records/7975081,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebFetch https://zenodo.org/records/17401360 (comparacao multi-modelo NLST: organs, GT humano?, licenca)",Zenodo,https://zenodo.org/records/17401360,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://portal.imaging.datacommons.cancer.gov/collections/ (1a passada: localizar analysis results por nome),IDC,https://portal.imaging.datacommons.cancer.gov/collections/,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebFetch https://portal.imaging.datacommons.cancer.gov/collections/ (2a passada: enumerar TODAS as 24 analysis results, com path e n)",IDC,https://portal.imaging.datacommons.cancer.gov/collections/,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebSearch: ""Krishnaswamy Bontempi Clunie Fedorov \""AI-derived annotations\"" NLST NSCLC-Radiomics Scientific Data esophagus nnU-Net no human correction""",outra,,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://portal.imaging.datacommons.cancer.gov/analysis_results/TotalSegmentator-CT-Segmentations,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/TotalSegmentator-CT-Segmentations,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://portal.imaging.datacommons.cancer.gov/analysis_results/NLSTSeg,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/NLSTSeg,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://portal.imaging.datacommons.cancer.gov/analysis_results/QIN-LungCT-Seg,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/QIN-LungCT-Seg,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://portal.imaging.datacommons.cancer.gov/analysis_results/RIDER-LungCT-Seg,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/RIDER-LungCT-Seg,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://portal.imaging.datacommons.cancer.gov/analysis_results/Lung-PET-CT-Dx-Annotations,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/Lung-PET-CT-Dx-Annotations,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://portal.imaging.datacommons.cancer.gov/analysis_results/nnU-Net-BPR-annotations,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/nnU-Net-BPR-annotations,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://portal.imaging.datacommons.cancer.gov/analysis_results/NLST-Sybil,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/NLST-Sybil,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://portal.imaging.datacommons.cancer.gov/analysis_results/EAY131-Tumor-Annotations,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/EAY131-Tumor-Annotations,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://portal.imaging.datacommons.cancer.gov/analysis_results/DICOM-LIDC-IDRI-Nodules,IDC,https://portal.imaging.datacommons.cancer.gov/analysis_results/DICOM-LIDC-IDRI-Nodules,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://zenodo.org/records/8347011 -> ECONNRESET; repetido em https://zenodo.org/record/8347011 -> OK,Zenodo,https://zenodo.org/records/8347011,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://zenodo.org/records/13900142 (release ampliada TotalSegmentator para IDC),Zenodo,https://zenodo.org/records/13900142,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebFetch https://arxiv.org/abs/2306.00150 (so abstract, insuficiente)",arXiv,https://arxiv.org/abs/2306.00150,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://arxiv.org/pdf/2306.00150 (PDF 4.6MB salvo localmente),arXiv,https://arxiv.org/pdf/2306.00150,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"Bash local: pypdf sobre webfetch-1788716280466-v55s47.pdf, regex por 'esophag|oncologist|review|correct|licen|Dice|SegTHOR' -> refutou duas afirmacoes falsas do resumo automatico",outra,,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://raw.githubusercontent.com/wasserth/TotalSegmentator/master/resources/totalsegmentator_snomed_mapping.csv -> HTTP 404,GitHub,https://raw.githubusercontent.com/wasserth/TotalSegmentator/master/resources/totalsegmentator_snomed_mapping.csv,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://raw.githubusercontent.com/wasserth/TotalSegmentator/master/README.md (lista de classes do task 'total'),GitHub,https://raw.githubusercontent.com/wasserth/TotalSegmentator/master/README.md,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebFetch https://www.nature.com/articles/s41597-023-02864-y.pdf -> 303 redirect para idp.nature.com, nao seguido",outra,https://www.nature.com/articles/s41597-023-02864-y.pdf,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebSearch: ""TCIA \""TotalSegmentator-CT-Segmentations\"" NLST analysis result 104 structures esophagus DICOM SEG license CC BY""",TCIA,,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
WebFetch https://arxiv.org/pdf/2512.15921 (PDF 8MB salvo localmente; resumo automatico falhou),arXiv,https://arxiv.org/pdf/2512.15921,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"Bash local: pypdf sobre webfetch-1788716402557-x6ivjx.pdf, regex por 'esophag|expert|manual|ground truth|radiolog|licen' -> 0 ocorrencias de 'esophag'",outra,,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
"WebSearch: ""SegTHOR challenge dataset 40 patients esophagus heart trachea aorta access license CodaLab download registration terms""",outra,,2026-09-06,,consulta registrada,,"ARM 2 — Canal ""Analysis Results"" do IDC: reanotacao de exame"
